YEAR,Car_Age,MILEAGE,CAR_PRICE,SOURCE,Toyota Camry LE-Sedan
2005,20,140000,3800,Craigslist,
2012,13,85269,12880,Craigslist,
2021,4,100861,13991,Craigslist,
2018,7,53552,16988,Craigslist,
2022,3,63663,21955,Craigslist,
2010,15,145000,3950,Craigslist,
2020,15,59750,21998,Autotrader,
2013,12,147477,9999,Autotrader,
2017,8,134926,11955,Autotrader,
2024,1,9328,24991,Autotrader,
2023,2,62580,24471,Cargurus,
2021,4,67089,20995,Cargurus,
2019,6,60092,19900,Cargurus,
2015,10,113257,14516,Cargurus,
2012,13,40944,14899,Cargurus,
2014,11,95022,12995,Cargurus,
2009,16,200100,4999,Craigslist,
2011,14,87080,9300,Craigslist,
2007,18,94800,7995,Craigslist,
2023,0,0,25143,Edmunds,
