Date,Close/Last,Volume,Open,High,Low,Day
2/24/2020,$29.16 ,36848710,$29.42 ,$29.88 ,$29.01 ,0.00
2/25/2020,$28.27 ,31891980,$29.41 ,$29.57 ,$28.11 ,1.00
2/26/2020,$28.59 ,23088560,$28.44 ,$28.82 ,$28.40 ,2.00
2/27/2020,$27.40 ,34837090,$28.03 ,$28.53 ,$27.35 ,3.00
2/28/2020,$27.26 ,44604240,$26.33 ,$27.41 ,$26.27 ,4.00
3/2/2020,$28.50 ,31976470,$27.68 ,$28.54 ,$27.12 ,5.00
3/3/2020,$27.43 ,29929680,$28.47 ,$28.85 ,$27.16 ,6.00
3/4/2020,$28.55 ,23477890,$27.75 ,$28.57 ,$27.48 ,7.00
3/5/2020,$27.40 ,24374130,$27.73 ,$28.31 ,$27.25 ,8.00
3/6/2020,$26.95 ,30168770,$26.70 ,$27.09 ,$26.25 ,9.00
3/9/2020,$24.77 ,43933600,$25.11 ,$26.03 ,$24.42 ,10.00
3/10/2020,$26.29 ,55075310,$25.66 ,$26.37 ,$24.34 ,11.00
3/11/2020,$24.60 ,36043720,$25.39 ,$25.65 ,$24.25 ,12.00
3/12/2020,$21.88 ,64281110,$22.70 ,$24.28 ,$21.63 ,13.00
3/13/2020,$23.42 ,84713690,$22.55 ,$23.45 ,$20.12 ,14.00
3/16/2020,$18.76 ,76935020,$20.82 ,$21.88 ,$18.02 ,15.00
3/17/2020,$19.95 ,70661560,$19.18 ,$20.00 ,$18.15 ,16.00
3/18/2020,$16.79 ,98992620,$18.57 ,$18.75 ,$15.57 ,17.00
3/19/2020,$19.45 ,74438210,$16.76 ,$20.75 ,$16.50 ,18.00
3/20/2020,$19.22 ,74043670,$20.20 ,$20.87 ,$18.79 ,19.00
3/23/2020,$19.35 ,46920520,$19.29 ,$19.60 ,$17.78 ,20.00
3/24/2020,$21.28 ,62969770,$20.56 ,$21.87 ,$20.13 ,21.00
3/25/2020,$21.76 ,64442450,$21.22 ,$24.40 ,$20.92 ,22.00
3/26/2020,$24.32 ,60233430,$22.60 ,$24.48 ,$22.60 ,23.00
3/27/2020,$23.07 ,39447710,$23.30 ,$24.21 ,$23.00 ,24.00
3/30/2020,$24.01 ,52343490,$23.22 ,$24.14 ,$22.84 ,25.00
3/31/2020,$23.71 ,50215310,$23.80 ,$25.27 ,$23.61 ,26.00
4/1/2020,$22.36 ,41858320,$22.80 ,$23.44 ,$21.97 ,27.00
4/2/2020,$23.71 ,45048830,$22.24 ,$23.80 ,$22.14 ,28.00
4/3/2020,$23.43 ,28961480,$23.66 ,$24.26 ,$23.06 ,29.00
4/6/2020,$25.24 ,38867860,$24.46 ,$25.34 ,$24.36 ,30.00
4/7/2020,$25.33 ,45892070,$26.18 ,$26.55 ,$25.25 ,31.00
4/8/2020,$26.11 ,27565460,$25.68 ,$26.22 ,$25.36 ,32.00
4/9/2020,$25.43 ,34827590,$26.58 ,$26.75 ,$25.13 ,33.00
4/13/2020,$25.99 ,25728580,$25.35 ,$26.15 ,$25.28 ,34.00
4/14/2020,$26.76 ,23096320,$26.61 ,$26.84 ,$26.23 ,35.00
4/15/2020,$25.74 ,25926480,$26.10 ,$26.23 ,$25.62 ,36.00
4/16/2020,$25.83 ,26895920,$26.18 ,$26.18 ,$25.41 ,37.00
4/17/2020,$26.59 ,34088800,$26.32 ,$26.74 ,$25.89 ,38.00
4/20/2020,$25.83 ,23801220,$26.00 ,$26.53 ,$25.79 ,39.00
4/21/2020,$24.77 ,29138050,$25.46 ,$25.48 ,$24.68 ,40.00
4/22/2020,$26.00 ,35441840,$25.48 ,$26.22 ,$25.07 ,41.00
4/23/2020,$25.89 ,21661690,$26.03 ,$26.52 ,$25.85 ,42.00
4/24/2020,$26.48 ,23425110,$25.98 ,$26.51 ,$25.89 ,43.00
4/27/2020,$26.85 ,16592490,$26.44 ,$27.12 ,$26.44 ,44.00
4/28/2020,$26.47 ,18992250,$27.42 ,$27.64 ,$26.41 ,45.00
4/29/2020,$27.60 ,28870690,$27.11 ,$27.70 ,$26.92 ,46.00
4/30/2020,$27.16 ,23379430,$27.35 ,$27.41 ,$26.88 ,47.00
5/1/2020,$25.97 ,26835610,$26.60 ,$26.79 ,$25.82 ,48.00
5/4/2020,$26.23 ,17046090,$25.92 ,$26.24 ,$25.53 ,49.00
5/5/2020,$26.49 ,26463590,$26.66 ,$26.89 ,$26.37 ,50.00
5/6/2020,$26.42 ,22729930,$26.83 ,$27.05 ,$26.36 ,51.00
5/7/2020,$26.78 ,18247050,$27.00 ,$27.05 ,$26.60 ,52.00
5/8/2020,$27.50 ,16767000,$27.22 ,$27.56 ,$27.00 ,53.00
5/11/2020,$27.54 ,20850970,$27.34 ,$27.67 ,$27.18 ,54.00
5/12/2020,$26.85 ,18763820,$27.66 ,$27.77 ,$26.82 ,55.00
5/13/2020,$26.32 ,21927400,$27.01 ,$27.03 ,$25.94 ,56.00
5/14/2020,$26.66 ,19911930,$26.10 ,$26.70 ,$25.48 ,57.00
5/15/2020,$26.04 ,21654220,$25.94 ,$26.41 ,$25.68 ,58.00
5/18/2020,$27.35 ,26537230,$26.86 ,$27.67 ,$26.80 ,59.00
5/19/2020,$27.20 ,18701790,$27.35 ,$27.60 ,$27.16 ,60.00
5/20/2020,$27.87 ,18605400,$27.70 ,$28.13 ,$27.61 ,61.00
5/21/2020,$27.48 ,14848950,$27.89 ,$27.95 ,$27.47 ,62.00
5/22/2020,$27.67 ,17452840,$27.37 ,$27.73 ,$27.05 ,63.00
5/26/2020,$28.20 ,23572860,$28.50 ,$28.71 ,$28.14 ,64.00
5/27/2020,$28.76 ,22811610,$28.30 ,$28.78 ,$28.00 ,65.00
5/28/2020,$28.31 ,18555170,$28.50 ,$28.93 ,$28.24 ,66.00
5/29/2020,$29.13 ,27323830,$28.29 ,$29.20 ,$28.19 ,67.00
6/1/2020,$29.00 ,18447880,$29.04 ,$29.11 ,$28.74 ,68.00
6/2/2020,$29.81 ,31846920,$29.10 ,$29.83 ,$29.01 ,69.00
6/3/2020,$30.95 ,31925830,$30.11 ,$31.09 ,$30.05 ,70.00
6/4/2020,$30.89 ,34997390,$30.58 ,$31.30 ,$30.21 ,71.00
6/5/2020,$31.71 ,50961950,$31.97 ,$32.81 ,$31.51 ,72.00
6/8/2020,$31.75 ,23916100,$31.75 ,$31.88 ,$31.34 ,73.00
6/9/2020,$31.53 ,22334770,$31.20 ,$31.89 ,$31.16 ,74.00
6/10/2020,$31.50 ,25913650,$31.67 ,$31.92 ,$31.47 ,75.00
6/11/2020,$29.38 ,45114770,$30.76 ,$30.86 ,$29.34 ,76.00
6/12/2020,$30.03 ,39439170,$30.28 ,$30.40 ,$29.27 ,77.00
6/15/2020,$30.41 ,29872290,$29.50 ,$30.68 ,$29.24 ,78.00
6/16/2020,$31.07 ,30400100,$31.00 ,$31.46 ,$30.40 ,79.00
6/17/2020,$31.34 ,20279210,$31.34 ,$31.67 ,$31.18 ,80.00
6/18/2020,$31.87 ,33624570,$31.21 ,$31.91 ,$31.15 ,81.00
6/19/2020,$30.28 ,58464640,$31.77 ,$31.81 ,$30.28 ,82.00
6/22/2020,$31.35 ,27194720,$30.55 ,$31.42 ,$30.35 ,83.00
6/23/2020,$31.13 ,22418980,$31.51 ,$31.74 ,$31.13 ,84.00
6/24/2020,$30.70 ,19097290,$30.92 ,$31.10 ,$30.45 ,85.00
6/25/2020,$30.89 ,15030110,$30.61 ,$30.95 ,$30.30 ,86.00
6/26/2020,$30.74 ,31425340,$31.36 ,$31.58 ,$30.32 ,87.00
6/29/2020,$30.98 ,14516020,$30.81 ,$31.04 ,$30.45 ,88.00
6/30/2020,$31.56 ,25125420,$31.00 ,$31.71 ,$30.68 ,89.00
7/1/2020,$31.27 ,15661970,$31.51 ,$31.69 ,$31.19 ,90.00
7/2/2020,$31.55 ,16638570,$31.77 ,$31.94 ,$31.47 ,91.00
7/6/2020,$31.88 ,17560700,$32.00 ,$32.10 ,$31.73 ,92.00
7/7/2020,$31.31 ,16153460,$31.73 ,$31.82 ,$31.26 ,93.00
7/8/2020,$31.96 ,18022630,$31.61 ,$31.98 ,$31.41 ,94.00
7/9/2020,$32.15 ,25227860,$32.00 ,$32.43 ,$31.52 ,95.00
7/10/2020,$31.94 ,13281250,$32.19 ,$32.30 ,$31.54 ,96.00
7/13/2020,$31.13 ,21549400,$32.17 ,$32.35 ,$31.06 ,97.00
7/14/2020,$31.51 ,18363170,$30.90 ,$31.62 ,$30.52 ,98.00
7/15/2020,$31.38 ,15252830,$31.60 ,$31.78 ,$31.02 ,99.00
7/16/2020,$31.13 ,12930730,$31.06 ,$31.39 ,$30.93 ,100.00
7/17/2020,$31.27 ,13355120,$31.42 ,$31.52 ,$31.00 ,101.00
7/20/2020,$31.71 ,14325760,$31.19 ,$31.77 ,$31.03 ,102.00
7/21/2020,$31.43 ,14347620,$31.92 ,$31.92 ,$31.27 ,103.00
7/22/2020,$31.38 ,14404500,$31.50 ,$31.57 ,$31.04 ,104.00
7/23/2020,$30.97 ,19417190,$31.34 ,$31.61 ,$30.84 ,105.00
7/24/2020,$30.58 ,15634030,$30.66 ,$31.09 ,$30.42 ,106.00
7/27/2020,$31.27 ,20646020,$30.83 ,$31.30 ,$30.75 ,107.00
7/28/2020,$30.74 ,13978480,$31.12 ,$31.21 ,$30.62 ,108.00
7/29/2020,$30.89 ,16561620,$30.85 ,$31.12 ,$30.74 ,109.00
7/30/2020,$31.21 ,21258530,$30.60 ,$31.29 ,$30.60 ,110.00
7/31/2020,$31.68 ,24720080,$31.47 ,$31.84 ,$31.14 ,111.00
8/3/2020,$32.12 ,20800360,$31.80 ,$32.35 ,$31.73 ,112.00
8/4/2020,$32.84 ,25260450,$32.05 ,$32.86 ,$32.04 ,113.00
8/5/2020,$32.95 ,22302110,$32.83 ,$33.16 ,$32.58 ,114.00
8/6/2020,$32.92 ,14192960,$32.78 ,$33.09 ,$32.54 ,115.00
8/7/2020,$32.59 ,14193320,$32.84 ,$32.97 ,$32.15 ,116.00
8/10/2020,$32.74 ,11990080,$32.42 ,$32.93 ,$32.41 ,117.00
8/11/2020,$32.40 ,19315960,$32.76 ,$33.33 ,$32.28 ,118.00
8/12/2020,$33.36 ,18476430,$32.59 ,$33.59 ,$32.54 ,119.00
8/13/2020,$32.94 ,15097720,$33.22 ,$33.34 ,$32.79 ,120.00
8/14/2020,$32.78 ,10140050,$32.80 ,$32.99 ,$32.60 ,121.00
8/17/2020,$33.03 ,10594140,$32.95 ,$33.18 ,$32.90 ,122.00
8/18/2020,$32.86 ,8859360,$33.19 ,$33.32 ,$32.81 ,123.00
8/19/2020,$32.92 ,11273140,$32.95 ,$33.31 ,$32.82 ,124.00
8/20/2020,$32.88 ,8910270,$32.77 ,$33.00 ,$32.61 ,125.00
8/21/2020,$33.00 ,11508670,$32.83 ,$33.05 ,$32.50 ,126.00
8/24/2020,$33.40 ,11997510,$33.20 ,$33.62 ,$33.11 ,127.00
8/25/2020,$33.61 ,11143340,$33.50 ,$33.71 ,$33.30 ,128.00
8/26/2020,$33.97 ,14844030,$33.47 ,$34.15 ,$33.35 ,129.00
8/27/2020,$33.91 ,12552110,$34.05 ,$34.13 ,$33.61 ,130.00
8/28/2020,$34.48 ,14588730,$33.90 ,$34.48 ,$33.77 ,131.00
8/31/2020,$34.72 ,22228980,$34.35 ,$35.06 ,$34.35 ,132.00
9/1/2020,$35.95 ,29258970,$35.00 ,$36.21 ,$34.74 ,133.00
9/2/2020,$37.50 ,37053380,$36.59 ,$37.90 ,$36.36 ,134.00
9/3/2020,$35.21 ,41794720,$36.60 ,$36.89 ,$35.02 ,135.00
9/4/2020,$36.30 ,58513730,$36.10 ,$37.25 ,$35.35 ,136.00
9/8/2020,$35.05 ,26685080,$35.27 ,$36.28 ,$35.00 ,137.00
9/9/2020,$36.00 ,26273240,$35.62 ,$36.19 ,$35.11 ,138.00
9/10/2020,$35.71 ,22851320,$36.21 ,$36.78 ,$35.44 ,139.00
9/11/2020,$35.97 ,17361980,$36.05 ,$36.43 ,$35.47 ,140.00
9/14/2020,$36.22 ,16448540,$36.44 ,$36.59 ,$35.93 ,141.00
9/15/2020,$36.69 ,16617850,$36.63 ,$37.11 ,$36.54 ,142.00
9/16/2020,$36.70 ,18512090,$36.82 ,$37.20 ,$36.64 ,143.00
9/17/2020,$36.59 ,22864230,$35.50 ,$37.01 ,$35.50 ,144.00
9/18/2020,$35.97 ,35294810,$36.71 ,$36.78 ,$35.51 ,145.00
9/21/2020,$35.18 ,24198340,$35.00 ,$35.20 ,$34.35 ,146.00
9/22/2020,$36.16 ,19500250,$35.64 ,$36.18 ,$35.30 ,147.00
9/23/2020,$35.16 ,15545370,$36.02 ,$36.12 ,$35.00 ,148.00
9/24/2020,$35.25 ,13613760,$35.02 ,$35.76 ,$34.91 ,149.00
9/25/2020,$35.68 ,18183420,$35.21 ,$35.77 ,$34.83 ,150.00
9/28/2020,$36.73 ,22191600,$36.17 ,$36.84 ,$35.90 ,151.00
9/29/2020,$36.43 ,13829970,$36.75 ,$37.08 ,$36.40 ,152.00
9/30/2020,$36.43 ,22403280,$36.30 ,$37.10 ,$36.17 ,153.00
10/1/2020,$36.86 ,16018680,$36.90 ,$37.07 ,$36.48 ,154.00
10/2/2020,$35.68 ,17100210,$36.00 ,$36.49 ,$35.62 ,155.00
10/5/2020,$36.61 ,18923280,$36.08 ,$36.69 ,$35.99 ,156.00
10/6/2020,$36.40 ,16671930,$36.61 ,$37.20 ,$36.20 ,157.00
10/7/2020,$36.67 ,12750080,$36.84 ,$36.99 ,$36.61 ,158.00
10/8/2020,$37.33 ,17045350,$36.99 ,$37.43 ,$36.83 ,159.00
10/9/2020,$37.67 ,17255470,$37.59 ,$38.00 ,$37.40 ,160.00
10/12/2020,$38.24 ,18839480,$38.18 ,$38.51 ,$37.98 ,161.00
10/13/2020,$38.15 ,16731450,$38.44 ,$38.78 ,$37.86 ,162.00
10/14/2020,$38.03 ,17301530,$38.35 ,$38.37 ,$37.79 ,163.00
10/15/2020,$37.99 ,14373540,$37.51 ,$38.05 ,$37.50 ,164.00
10/16/2020,$37.87 ,10297020,$38.33 ,$38.33 ,$37.82 ,165.00
10/19/2020,$37.58 ,14802730,$38.12 ,$38.36 ,$37.52 ,166.00
10/20/2020,$37.70 ,13296920,$37.70 ,$38.11 ,$37.56 ,167.00
10/21/2020,$37.21 ,11896350,$37.58 ,$37.69 ,$37.03 ,168.00
10/22/2020,$37.34 ,13548420,$37.11 ,$37.43 ,$36.71 ,169.00
10/23/2020,$37.27 ,8868490,$37.33 ,$37.39 ,$37.08 ,170.00
10/26/2020,$36.30 ,15508960,$36.96 ,$37.00 ,$35.76 ,171.00
10/27/2020,$35.96 ,9619960,$36.52 ,$36.52 ,$35.92 ,172.00
10/28/2020,$34.72 ,22331440,$35.40 ,$35.49 ,$34.55 ,173.00
10/29/2020,$35.50 ,15697350,$34.73 ,$35.94 ,$34.54 ,174.00
10/30/2020,$34.96 ,18530260,$34.94 ,$35.30 ,$34.44 ,175.00
11/2/2020,$35.13 ,11756540,$35.50 ,$35.54 ,$34.83 ,176.00
11/3/2020,$35.38 ,15457000,$35.60 ,$35.92 ,$34.67 ,177.00
11/4/2020,$36.46 ,21276610,$36.05 ,$36.90 ,$35.71 ,178.00
11/5/2020,$38.09 ,21783420,$37.24 ,$38.27 ,$37.20 ,179.00
11/6/2020,$38.06 ,13546490,$38.01 ,$38.37 ,$37.72 ,180.00
11/9/2020,$37.55 ,24088380,$38.91 ,$39.39 ,$37.50 ,181.00
11/10/2020,$36.31 ,26784170,$37.03 ,$37.32 ,$36.04 ,182.00
11/11/2020,$37.59 ,15134180,$37.09 ,$37.71 ,$36.86 ,183.00
11/12/2020,$37.02 ,12174650,$37.72 ,$37.86 ,$36.83 ,184.00
11/13/2020,$37.35 ,10996880,$37.50 ,$37.73 ,$37.16 ,185.00
11/16/2020,$38.08 ,12102690,$37.48 ,$38.14 ,$37.40 ,186.00
11/17/2020,$38.06 ,11950920,$37.87 ,$38.24 ,$37.70 ,187.00
11/18/2020,$38.06 ,13518540,$37.99 ,$38.49 ,$37.96 ,188.00
11/19/2020,$38.43 ,14555370,$37.77 ,$38.48 ,$37.44 ,189.00
11/20/2020,$38.33 ,16148360,$38.43 ,$38.89 ,$38.27 ,190.00
11/23/2020,$38.70 ,12216040,$38.54 ,$38.92 ,$38.30 ,191.00
11/24/2020,$39.22 ,13458350,$38.86 ,$39.28 ,$38.62 ,192.00
11/25/2020,$39.08 ,11788490,$39.28 ,$39.55 ,$38.90 ,193.00
11/27/2020,$39.50 ,6846330,$39.32 ,$39.92 ,$39.30 ,194.00
11/30/2020,$40.16 ,15453890,$39.40 ,$40.22 ,$39.27 ,195.00
12/1/2020,$40.46 ,18181540,$40.35 ,$40.67 ,$40.01 ,196.00
12/2/2020,$40.37 ,10033650,$40.47 ,$40.54 ,$40.11 ,197.00
12/3/2020,$39.98 ,16122110,$40.45 ,$40.66 ,$39.81 ,198.00
12/4/2020,$41.17 ,20082710,$40.24 ,$41.24 ,$40.24 ,199.00
12/7/2020,$42.09 ,19707490,$41.64 ,$42.28 ,$41.33 ,200.00
12/8/2020,$42.34 ,18120800,$41.93 ,$42.67 ,$41.82 ,201.00
12/9/2020,$41.62 ,20908460,$41.95 ,$42.61 ,$41.37 ,202.00
12/10/2020,$41.00 ,26243600,$41.14 ,$41.53 ,$40.80 ,203.00
12/11/2020,$40.58 ,26665100,$40.40 ,$40.70 ,$39.83 ,204.00
12/14/2020,$41.18 ,26116110,$40.65 ,$41.43 ,$40.60 ,205.00
12/15/2020,$41.81 ,21221330,$41.53 ,$41.94 ,$41.30 ,206.00
12/16/2020,$42.49 ,23159540,$41.80 ,$42.71 ,$41.70 ,207.00
12/17/2020,$42.61 ,17151760,$42.65 ,$43.00 ,$42.45 ,208.00
12/18/2020,$43.46 ,45243320,$42.48 ,$43.57 ,$42.20 ,209.00
12/21/2020,$42.89 ,19096060,$42.82 ,$43.20 ,$42.37 ,210.00
12/22/2020,$43.31 ,17938010,$42.89 ,$43.36 ,$42.80 ,211.00
12/23/2020,$42.55 ,10533660,$43.50 ,$43.60 ,$42.51 ,212.00
12/24/2020,$43.15 ,4122680,$42.85 ,$43.20 ,$42.76 ,213.00
12/28/2020,$43.19 ,10625240,$43.43 ,$43.73 ,$43.12 ,214.00
12/29/2020,$42.90 ,9593400,$43.58 ,$43.58 ,$42.68 ,215.00
12/30/2020,$43.48 ,10554980,$43.17 ,$43.80 ,$43.01 ,216.00
12/31/2020,$43.79 ,10211520,$43.63 ,$43.85 ,$43.31 ,217.00
1/4/2021,$42.52 ,24172250,$43.93 ,$44.22 ,$42.12 ,218.00
1/5/2021,$42.81 ,15069120,$42.51 ,$42.94 ,$42.24 ,219.00
1/6/2021,$42.55 ,17226180,$42.33 ,$43.46 ,$42.05 ,220.00
1/7/2021,$44.34 ,21269600,$43.21 ,$44.46 ,$43.06 ,221.00
1/8/2021,$44.56 ,15273470,$44.70 ,$45.00 ,$43.86 ,222.00
1/11/2021,$44.58 ,11661680,$44.06 ,$44.88 ,$44.04 ,223.00
1/12/2021,$44.94 ,13849010,$44.78 ,$45.48 ,$44.56 ,224.00
1/13/2021,$45.12 ,13118090,$45.03 ,$45.35 ,$44.81 ,225.00
1/14/2021,$45.21 ,19692430,$45.35 ,$45.85 ,$45.13 ,226.00
1/15/2021,$44.59 ,18167380,$44.82 ,$45.00 ,$44.07 ,227.00
1/19/2021,$45.93 ,18819350,$44.83 ,$45.95 ,$44.83 ,228.00
1/20/2021,$46.19 ,14711160,$45.95 ,$46.58 ,$45.50 ,229.00
1/21/2021,$46.68 ,15754200,$46.21 ,$46.95 ,$46.04 ,230.00
1/22/2021,$46.50 ,16247580,$46.37 ,$46.76 ,$46.24 ,231.00
1/25/2021,$46.48 ,14693910,$46.96 ,$47.00 ,$45.61 ,232.00
1/26/2021,$46.39 ,10741740,$46.27 ,$46.70 ,$46.19 ,233.00
1/27/2021,$44.47 ,21857270,$45.55 ,$45.70 ,$44.15 ,234.00
1/28/2021,$45.17 ,16946120,$45.55 ,$45.85 ,$44.70 ,235.00
1/29/2021,$45.05 ,22071080,$44.99 ,$45.81 ,$44.76 ,236.00
2/1/2021,$46.67 ,17028130,$45.59 ,$46.93 ,$45.36 ,237.00
2/2/2021,$47.69 ,16140830,$46.98 ,$47.70 ,$46.80 ,238.00
2/3/2021,$46.52 ,17856990,$47.69 ,$47.85 ,$46.46 ,239.00
2/4/2021,$47.06 ,15242650,$46.00 ,$47.12 ,$45.75 ,240.00
2/5/2021,$46.60 ,12489350,$47.43 ,$47.69 ,$46.54 ,241.00
2/8/2021,$47.27 ,17611310,$46.88 ,$47.34 ,$46.56 ,242.00
2/9/2021,$47.46 ,12759220,$47.20 ,$47.52 ,$46.86 ,243.00
2/10/2021,$47.01 ,14590420,$47.72 ,$47.75 ,$46.55 ,244.00
2/11/2021,$47.84 ,17123540,$47.37 ,$47.94 ,$46.92 ,245.00
2/12/2021,$48.63 ,13551910,$47.84 ,$48.70 ,$47.49 ,246.00
2/16/2021,$48.91 ,15163380,$49.09 ,$49.48 ,$48.70 ,247.00
2/17/2021,$48.25 ,14085890,$48.42 ,$48.61 ,$47.51 ,248.00
2/18/2021,$48.33 ,16714530,$48.02 ,$48.54 ,$47.51 ,249.00
2/19/2021,$49.00 ,17994490,$48.73 ,$49.51 ,$48.68 ,250.00
2/22/2021,$47.64 ,16967050,$48.40 ,$48.66 ,$47.53 ,251.00
2/23/2021,$47.19 ,21306080,$47.11 ,$47.46 ,$45.61 ,252.00
2/24/2021,$48.09 ,15125300,$46.77 ,$48.14 ,$46.27 ,253.00
2/25/2021,$45.72 ,23147970,$47.48 ,$47.94 ,$45.52 ,254.00
2/26/2021,$46.99 ,22643470,$46.75 ,$47.58 ,$46.07 ,255.00
3/1/2021,$48.96 ,24682390,$47.97 ,$49.00 ,$47.39 ,256.00
3/2/2021,$48.05 ,18545740,$49.04 ,$49.09 ,$47.96 ,257.00
3/3/2021,$46.31 ,23991340,$47.80 ,$48.14 ,$46.20 ,258.00
3/4/2021,$44.36 ,34574690,$46.17 ,$46.70 ,$44.14 ,259.00
3/5/2021,$45.01 ,42414000,$45.43 ,$45.60 ,$43.30 ,260.00
3/8/2021,$42.13 ,45243280,$44.68 ,$44.80 ,$41.93 ,261.00
3/9/2021,$44.36 ,37884490,$43.57 ,$44.69 ,$43.06 ,262.00
3/10/2021,$43.76 ,19914280,$44.74 ,$45.40 ,$43.51 ,263.00
3/11/2021,$45.37 ,26169550,$44.90 ,$45.75 ,$44.21 ,264.00
3/12/2021,$45.12 ,18906070,$44.54 ,$45.35 ,$44.45 ,265.00
3/15/2021,$47.08 ,31299370,$45.52 ,$47.12 ,$45.32 ,266.00
3/16/2021,$47.82 ,31190150,$47.13 ,$48.40 ,$46.74 ,267.00
3/17/2021,$48.36 ,23753580,$47.03 ,$48.73 ,$47.00 ,268.00
