Date,Close/Last,Volume,Open,High,Low,Day,,Source
2/24/2020,29.16,36848710,29.42,29.88,29.01,0,,Nasdaq
2/25/2020,28.27,31891980,29.41,29.57,28.11,1,,Nasdaq
2/26/2020,28.59,23088560,28.44,28.82,28.4,2,,Nasdaq
2/27/2020,27.4,34837090,28.03,28.53,27.35,3,,Nasdaq
2/28/2020,27.26,44604240,26.33,27.41,26.27,4,,Nasdaq
3/2/2020,28.5,31976470,27.68,28.54,27.12,5,,Nasdaq
3/3/2020,27.43,29929680,28.47,28.85,27.16,6,,Nasdaq
3/4/2020,28.55,23477890,27.75,28.57,27.48,7,,Nasdaq
3/5/2020,27.4,24374130,27.73,28.31,27.25,8,,Nasdaq
3/6/2020,26.95,30168770,26.7,27.09,26.25,9,,Nasdaq
3/9/2020,24.77,43933600,25.11,26.03,24.42,10,,Nasdaq
3/10/2020,26.29,55075310,25.66,26.37,24.34,11,,Nasdaq
3/11/2020,24.6,36043720,25.39,25.65,24.25,12,,Nasdaq
3/12/2020,21.88,64281110,22.7,24.28,21.63,13,,Nasdaq
3/13/2020,23.42,84713690,22.55,23.45,20.12,14,,Nasdaq
3/16/2020,18.76,76935020,20.82,21.88,18.02,15,,Nasdaq
3/17/2020,19.95,70661560,19.18,20,18.15,16,,Nasdaq
3/18/2020,16.79,98992620,18.57,18.75,15.57,17,,Nasdaq
3/19/2020,19.45,74438210,16.76,20.75,16.5,18,,Nasdaq
3/20/2020,19.22,74043670,20.2,20.87,18.79,19,,Nasdaq
3/23/2020,19.35,46920520,19.29,19.6,17.78,20,,Nasdaq
3/24/2020,21.28,62969770,20.56,21.87,20.13,21,,Nasdaq
3/25/2020,21.76,64442450,21.22,24.4,20.92,22,,Nasdaq
3/26/2020,24.32,60233430,22.6,24.48,22.6,23,,Nasdaq
3/27/2020,23.07,39447710,23.3,24.21,23,24,,Nasdaq
3/30/2020,24.01,52343490,23.22,24.14,22.84,25,,Nasdaq
3/31/2020,23.71,50215310,23.8,25.27,23.61,26,,Nasdaq
4/1/2020,22.36,41858320,22.8,23.44,21.97,27,,Nasdaq
4/2/2020,23.71,45048830,22.24,23.8,22.14,28,,Nasdaq
4/3/2020,23.43,28961480,23.66,24.26,23.06,29,,Nasdaq
4/6/2020,25.24,38867860,24.46,25.34,24.36,30,,Nasdaq
4/7/2020,25.33,45892070,26.18,26.55,25.25,31,,Nasdaq
4/8/2020,26.11,27565460,25.68,26.22,25.36,32,,Nasdaq
4/9/2020,25.43,34827590,26.58,26.75,25.13,33,,Nasdaq
4/13/2020,25.99,25728580,25.35,26.15,25.28,34,,Nasdaq
4/14/2020,26.76,23096320,26.61,26.84,26.23,35,,Nasdaq
4/15/2020,25.74,25926480,26.1,26.23,25.62,36,,Nasdaq
4/16/2020,25.83,26895920,26.18,26.18,25.41,37,,Nasdaq
4/17/2020,26.59,34088800,26.32,26.74,25.89,38,,Nasdaq
4/20/2020,25.83,23801220,26,26.53,25.79,39,,Nasdaq
4/21/2020,24.77,29138050,25.46,25.48,24.68,40,,Nasdaq
4/22/2020,26,35441840,25.48,26.22,25.07,41,,Nasdaq
4/23/2020,25.89,21661690,26.03,26.52,25.85,42,,Nasdaq
4/24/2020,26.48,23425110,25.98,26.51,25.89,43,,Nasdaq
4/27/2020,26.85,16592490,26.44,27.12,26.44,44,,Nasdaq
4/28/2020,26.47,18992250,27.42,27.64,26.41,45,,Nasdaq
