Date,Close/Last,Volume,Open,High,Low,,BROADCOM
2/21/2025,$218.66 ,24883560,$225.65 ,$227.75 ,$215.63 ,,
2/20/2025,$226.74 ,16104000,$228.65 ,$228.98 ,$222.75 ,,
2/19/2025,$228.73 ,16375490,$227.85 ,$229.07 ,$224.40 ,,
2/18/2025,$228.53 ,26080550,$230.10 ,$232.20 ,$224.30 ,,
2/14/2025,$233.04 ,16988780,$234.53 ,$235.74 ,$228.90 ,,
2/13/2025,$235.80 ,20962030,$236.06 ,$236.95 ,$230.73 ,,
2/12/2025,$236.35 ,16397340,$230.36 ,$236.48 ,$230.00 ,,
2/11/2025,$235.04 ,18476200,$232.48 ,$237.89 ,$229.97 ,,
2/10/2025,$235.04 ,23901640,$227.43 ,$235.82 ,$227.12 ,,
2/7/2025,$224.87 ,22117470,$235.00 ,$235.65 ,$224.11 ,,
2/6/2025,$231.36 ,21169530,$234.50 ,$234.80 ,$228.56 ,,
2/5/2025,$232.00 ,29250580,$233.94 ,$237.93 ,$227.50 ,,
2/4/2025,$222.43 ,23768520,$219.35 ,$223.03 ,$215.30 ,,
2/3/2025,$217.73 ,24507270,$215.46 ,$220.94 ,$213.51 ,,
1/31/2025,$221.27 ,41150980,$219.66 ,$226.80 ,$216.30 ,,
1/30/2025,$215.66 ,42449480,$218.57 ,$221.96 ,$213.70 ,,
1/29/2025,$206.35 ,32533740,$208.84 ,$211.45 ,$202.77 ,,
1/28/2025,$207.36 ,50315990,$208.01 ,$209.95 ,$198.89 ,,
1/27/2025,$202.13 ,90569380,$213.40 ,$218.43 ,$196.23 ,,
1/24/2025,$244.70 ,25387830,$244.70 ,$249.59 ,$241.91 ,,
