          Date,Day of theweek,Amount,Description,Financial Goals/Saving,Method of Payment,Need/Want/Saving
1/17/2025,Friday ,65,Electricity,Housing,Cash,Need
1/17/2025,Friday ,7,Coffee,Food,Credit,Want
1/17/2025,Friday ,10,Burger,Food,Credit,Want
1/18/2025,Saturday,13,Fruits,Food,Cash,Need
1/18/2025,Saturday,13,Vegetables,Food,Cash,Need
1/19/2025,Sunday,7,Milk,Food,Credit,Need
1/19/2025,Sunday,31,Meat,Food,Credit,Need
1/20/2025,Monday,45,Gas,Food,Credit,Need
1/20/2025,Monday,24,Roasted Pork,Food,Cash,Want
1/21/2025,Tuesday,7,Drink,Food,Credit,Want
1/22/2025,Wednesday,78,less than Weekly target exspense,Less than weekly target expense,Cash,Saving
1/23/2025,Thursday,60,Oil change,Food,Cash,Need
1/23/2025,Thursday,8.75,Canola oil,Food,Credit,Need
1/23/2025,Thursday,5.5,Roasted chicken,Food,Credit,Need
1/24/2025,Friday ,8,orange,Food,Credit,Need
1/24/2025,Friday ,15,fitness,Food,Credit,Need
1/24/2025,Friday ,15,Dimsum,Food,Cash,Want
1/25/2025,Saturday,183,Renew car licence,Food,Credit,Need
1/25/2025,Saturday,7,Milk,Food,Cash,Need
1/25/2025,Saturday,2,Itilian Parsley,Food,Cash,Need
1/26/2025,Sunday,16,Nian gao,Food,Cash,Want
1/26/2025,Sunday,5,Coffee,Food,Credit,Want
1/27/2025,Monday,40,Rice,Food,Credit,Need
1/27/2025,Monday,10,Juice,Food,Credit,Want
1/27/2025,Monday,18,Vitamins&Minerals,Medicine,Credit,Need
1/28/2025,Tuesdsy,6,coffee,Food,Credit,Want
1/28/2025,Tuesday,10,Dumplings,Food,Credit,Want
1/28/2025,Tuesday,12,Milk,Food,Credit,Need
29-Jan,Wednesday,10,Salmon,Food,Credit,Need
1/29/2025,Wednesday,18,Beef,Food,Credit,Need
1/29/2025,Wednesday,3,Carrot,Food,Cash,Need
1/30/2025,Thursday,28,Vegetables,Food,Cash,Need
1/30/2025,Thursday,5,Coffee,Food,Cash,Need
1/30/2025,Thursday,80,cloth,Recreation and entertainment,Cash,Want
1/30/2025,Thursday,40,Gas,Travel,Credit,Need
1/30/2025,Thursday,10,Lottery, Recreation and entertainment,Cash,Want
