Date,Day of the Week,Amount,Description,Financial goals and Savings,Method of Payment,Need/Want/Saving
1/22/2025,Wednesday,60,Oil change,Travel,Cash,Need
1/23/2025,Thursday,8.75,Canola oil,Food,Credit,Need
1/23/2025,Thursday,5.5,Roasted chicken,Food,Credit,Need
1/23/2025,Thursday,8,orange,Food,Credit,Need
1/24/2025,Friday,15,fitness,Bills,Credit,Need
1/24/2025,Friday,15,Dimsum,Food,Cash,Want
1/25/2025,Saturday,183,Renew car licence,Travel,Credit,Need
1/25/2025,Saturday,7,Milk,Food,Cash,Need
1/25/2025,Saturday,2,Itilian Parsley,Food,Cash,Need
1/26/2025,Sunday,16,Nian gao,Food,Cash,Want
1/26/2025,Sunday,5,Coffee,Food,Credit,Want
